"property","value"
"version","1.1.9"
"build","1010901"
"fileFormat","1.13"
"deviceModel","Moto G (5)"
"deviceBrand","motorola"
"deviceBoard","msm8937"
"deviceManufacturer","motorola"
"deviceBaseOS",""
"deviceCodename","REL"
"deviceRelease","8.1.0"
"accelerometer Name","3-axis Accelerometer"
"accelerometer Vendor","Bosch"
"accelerometer Range","156.9064"
"accelerometer Resolution","0.0047884034"
"accelerometer MinDelay","10000"
"accelerometer MaxDelay","200000"
"accelerometer Power","0.55"
"accelerometer Version","1"
"linear_acceleration Name","Linear Acceleration"
"linear_acceleration Vendor","Motorola"
"linear_acceleration Range","156.9064"
"linear_acceleration Resolution","0.0047884034"
"linear_acceleration MinDelay","10000"
"linear_acceleration MaxDelay","10000"
"linear_acceleration Power","2.45"
"linear_acceleration Version","1"
"gyroscope Name","3-axis Gyroscope"
"gyroscope Vendor","Bosch"
"gyroscope Range","2000.0"
"gyroscope Resolution","0.06103702"
"gyroscope MinDelay","5000"
"gyroscope MaxDelay","200000"
"gyroscope Power","0.9"
"gyroscope Version","1"
"magnetic_field Name","null"
"magnetic_field Vendor","null"
"magnetic_field Range","null"
"magnetic_field Resolution","null"
"magnetic_field MinDelay","null"
"magnetic_field MaxDelay","null"
"magnetic_field Power","null"
"magnetic_field Version","null"
"pressure Name","null"
"pressure Vendor","null"
"pressure Range","null"
"pressure Resolution","null"
"pressure MinDelay","null"
"pressure MaxDelay","null"
"pressure Power","null"
"pressure Version","null"
"light Name","Ambient Light sensor"
"light Vendor","TAOS"
"light Range","65535.0"
"light Resolution","1.0"
"light MinDelay","0"
"light MaxDelay","0"
"light Power","0.25"
"light Version","1"
"proximity Name","Proximity sensor"
"proximity Vendor","TAOS"
"proximity Range","100.0"
"proximity Resolution","100.0"
"proximity MinDelay","0"
"proximity MaxDelay","0"
"proximity Power","0.0467"
"proximity Version","1"
"temperature Name","null"
"temperature Vendor","null"
"temperature Range","null"
"temperature Resolution","null"
"temperature MinDelay","null"
"temperature MaxDelay","null"
"temperature Power","null"
"temperature Version","null"
"humidity Name","null"
"humidity Vendor","null"
"humidity Range","null"
"humidity Resolution","null"
"humidity MinDelay","null"
"humidity MaxDelay","null"
"humidity Power","null"
"humidity Version","null"
"attitude Name","null"
"attitude Vendor","null"
"attitude Range","null"
"attitude Resolution","null"
"attitude MinDelay","null"
"attitude MaxDelay","null"
"attitude Power","null"
"attitude Version","null"
