"event","experiment time","system time","system time text"
"START",0.000000000E0,1636365479.225,"2021-11-08 10:57:59.225 UTC+01:00"
"PAUSE",2.391339166E1,1636365503.138,"2021-11-08 10:58:23.138 UTC+01:00"
