"event","experiment time","system time","system time text"
"START",0.000000000E0,1636362854.969,"2021-11-08 14:44:14.969 UTC+05:30"
"PAUSE",1.003949694E1,1636362865.009,"2021-11-08 14:44:25.009 UTC+05:30"
