"event","experiment time","system time","system time text"
"START",0.000000000E0,1636487084.648,"2021-11-09 20:44:44.648 UTC+01:00"
"PAUSE",3.075727967E1,1636487115.405,"2021-11-09 20:45:15.405 UTC+01:00"
