"event","experiment time","system time","system time text"
"START",0.000000000E0,1636362916.176,"2021-11-08 14:45:16.176 UTC+05:30"
"PAUSE",1.003197350E1,1636362926.208,"2021-11-08 14:45:26.208 UTC+05:30"
