"property","value"
"version","1.1.9"
"build","1010901"
"fileFormat","1.13"
"deviceModel","Pixel 3a"
"deviceBrand","google"
"deviceBoard","sargo"
"deviceManufacturer","Google"
"deviceBaseOS",""
"deviceCodename","REL"
"deviceRelease","12"
"accelerometer Name","BMI160 Accelerometer"
"accelerometer Vendor","BOSCH"
"accelerometer Range","156.99008"
"accelerometer Resolution","0.004790957"
"accelerometer MinDelay","2500"
"accelerometer MaxDelay","1000000"
"accelerometer Power","0.18"
"accelerometer Version","1"
"linear_acceleration Name","Linear Acceleration Sensor"
"linear_acceleration Vendor","Google"
"linear_acceleration Range","156.96"
"linear_acceleration Resolution","1.0E-5"
"linear_acceleration MinDelay","20000"
"linear_acceleration MaxDelay","200000"
"linear_acceleration Power","1.0"
"linear_acceleration Version","1"
"gyroscope Name","BMI160 Gyroscope"
"gyroscope Vendor","BOSCH"
"gyroscope Range","34.906555"
"gyroscope Resolution","0.0010652635"
"gyroscope MinDelay","2500"
"gyroscope MaxDelay","1000000"
"gyroscope Power","0.9"
"gyroscope Version","1"
"magnetic_field Name","AK0991X Magnetometer"
"magnetic_field Vendor","akm"
"magnetic_field Range","4912.0503"
"magnetic_field Resolution","0.15"
"magnetic_field MinDelay","10000"
"magnetic_field MaxDelay","1000000"
"magnetic_field Power","0.9"
"magnetic_field Version","20012"
"pressure Name","BMP380 Barometer"
"pressure Vendor","Bosch"
"pressure Range","1249.9998"
"pressure Resolution","0.0017"
"pressure MinDelay","40000"
"pressure MaxDelay","1000000"
"pressure Power","0.7"
"pressure Version","8709"
"light Name","TMD2725 Ambient Light"
"light Vendor","AMS"
"light Range","1.0"
"light Resolution","0.001"
"light MinDelay","0"
"light MaxDelay","0"
"light Power","0.001"
"light Version","1"
"proximity Name","TMD2725 Proximity (wake-up)"
"proximity Vendor","AMS"
"proximity Range","5.0"
"proximity Resolution","0.1"
"proximity MinDelay","0"
"proximity MaxDelay","0"
"proximity Power","0.001"
"proximity Version","1"
"temperature Name","BMI160 Temperature"
"temperature Vendor","BOSCH"
"temperature Range","1.0"
"temperature Resolution","0.1"
"temperature MinDelay","200000"
"temperature MaxDelay","1000000"
"temperature Power","0.18"
"temperature Version","1"
"humidity Name","null"
"humidity Vendor","null"
"humidity Range","null"
"humidity Resolution","null"
"humidity MinDelay","null"
"humidity MaxDelay","null"
"humidity Power","null"
"humidity Version","null"
"attitude Name","Rotation Vector Sensor"
"attitude Vendor","Google"
"attitude Range","1.0"
"attitude Resolution","1.0E-5"
"attitude MinDelay","5000"
"attitude MaxDelay","200000"
"attitude Power","1.0"
"attitude Version","1"
