,Time (s),X (rad/s),Y (rad/s),Z (rad/s)
3422,34.40926992,-0.2880332172,0.05378098041,-0.1512759328
3423,34.41932092,-0.472091198,0.09167696536,-0.225340575
3424,34.42937192,-0.7557265759,-0.114956066,-0.3067338467
3425,34.43942292,-1.176743388,-0.3112083972,-0.4042348266
3426,34.44947392,-1.662133217,-0.3486890197,-0.5329992175
3427,34.45952392,-2.215818882,-0.5318162441,-0.6457691789
3428,34.46957492,-2.79652667,-1.109559774,-0.6610326171
3429,34.47962592,-3.165891409,-1.78043139,-0.6581627727
3430,34.48967692,-3.345144033,-1.90976727,-0.7435974479
3431,34.49972792,-3.536027431,-1.399779916,-0.8878923059
3432,34.50977892,-3.650509834,-0.6745269895,-0.9708439708
3433,34.51982992,-3.556085348,-0.3790793419,-1.028192878
3434,34.52987992,-3.291914225,-0.2075586021,-1.066423774
3435,34.53993092,-3.013702869,0.2111704797,-1.078195214
3436,34.54998192,-2.833363533,0.7060568929,-1.097936869
3437,34.56003292,-2.851119041,0.9361420274,-1.127785563
3438,34.57008392,-2.897359133,0.783854425,-1.250455618
3439,34.58013492,-2.77757287,0.03789581731,-1.429686546
3440,34.59018592,-2.483462334,-1.239773512,-1.689103365
3441,34.60023692,-2.323751211,-1.64082396,-1.714984298
3442,34.61028692,-2.210949898,-1.252499461,-1.609053373
3443,34.62033792,-2.026993752,-1.128682375,-1.476729155
3444,34.63038892,-1.941618204,-1.328122973,-1.379516959
3445,34.64043992,-1.952261567,-1.528512239,-1.261208773
3446,34.65049092,-1.937302828,-1.714642644,-1.155152559
3447,34.66054192,-1.870700121,-1.778268337,-1.08877492
3448,34.67059292,-1.783616185,-1.679650664,-1.062736988
3449,34.68064292,-1.693643689,-1.558538318,-1.04062283
3450,34.69069392,-1.574921489,-1.478763103,-1.016489267
3451,34.70074492,-1.416139364,-1.458565712,-0.9879521132
3452,34.71079592,-1.213879704,-1.487469792,-0.9612386227
3453,34.72084692,-0.9930136204,-1.444927573,-0.8980569839
3454,34.73089792,-0.756659627,-1.260294318,-0.7556165457
3455,34.74094892,-0.461335063,-1.186247826,-0.6653556228
3456,34.75099992,-0.1455298215,-1.091462612,-0.6003298163
3457,34.76104992,0.1790581197,-0.9324814081,-0.5290346146
3458,34.77110092,0.5051540732,-0.7670423985,-0.4933145046
3459,34.78115192,0.8154062033,-0.5568702221,-0.4572318494
3460,34.79120296,1.075793743,-0.3464182019,-0.4223592877
3461,34.80125396,1.227711082,-0.1023280546,-0.3866830468
3462,34.81130496,1.25821507,0.07332204282,-0.3289982378
3463,34.82135596,1.184760451,0.1418435872,-0.2760567367
3464,34.83140596,1.105227947,0.04913247377,-0.223180443
3465,34.84145696,1.105707526,-0.07226932049,-0.1626747549
3466,34.85150796,1.183847785,-0.1863465905,-0.1079725251
3467,34.86155896,1.277890086,-0.3539435863,-0.05610319972
3468,34.87160996,1.341563344,-0.5454128385,-0.007908051834
3469,34.88166096,1.319411516,-0.630928278,0.01292985212
3470,34.89171196,1.193194509,-0.622911334,0.02828133292
3471,34.90176296,0.9954262972,-0.5644522905,0.02773671597
3472,34.91181296,0.7433457375,-0.456871897,0.02715785988
3473,34.92186396,0.4670278728,-0.3449570835,0.01341221947
3474,34.93191496,0.2142277807,-0.2804854512,1.502456143e-06
