"event","experiment time","system time","system time text"
"START",0.000000000E0,1636366108.774,"2021-11-08 11:08:28.774 UTC+01:00"
"PAUSE",2.015611094E1,1636366128.930,"2021-11-08 11:08:48.930 UTC+01:00"
