"event","experiment time","system time","system time text"
"START",0.000000000E0,1636363181.866,"2021-11-08 10:19:41.866 UTC+01:00"
"PAUSE",6.226397760E1,1636363244.129,"2021-11-08 10:20:44.129 UTC+01:00"
