"event","experiment time","system time","system time text"
"START",0.000000000E0,1636362645.998,"2021-11-08 14:40:45.998 UTC+05:30"
"PAUSE",1.003877480E1,1636362656.036,"2021-11-08 14:40:56.036 UTC+05:30"
