"property","value"
"version","1.1.9"
"build","1010901"
"fileFormat","1.13"
"deviceModel","moto g(8)"
"deviceBrand","motorola"
"deviceBoard","rav"
"deviceManufacturer","motorola"
"deviceBaseOS","motorola/rav_reteu/rav:11/RPJ31.Q4U-47-35/0edbf:user/release-keys"
"deviceCodename","REL"
"deviceRelease","11"
"accelerometer Name","lsm6dso Accelerometer Non-wakeup"
"accelerometer Vendor","STMicro"
"accelerometer Range","156.90636"
"accelerometer Resolution","0.0047856453"
"accelerometer MinDelay","2404"
"accelerometer MaxDelay","1000000"
"accelerometer Power","0.17"
"accelerometer Version","142338"
"linear_acceleration Name","linear_acceleration"
"linear_acceleration Vendor","qualcomm"
"linear_acceleration Range","156.98999"
"linear_acceleration Resolution","0.01"
"linear_acceleration MinDelay","5000"
"linear_acceleration MaxDelay","200000"
"linear_acceleration Power","0.515"
"linear_acceleration Version","1"
"gyroscope Name","lsm6dso Gyroscope Non-wakeup"
"gyroscope Vendor","STMicro"
"gyroscope Range","34.90549"
"gyroscope Resolution","0.0012216945"
"gyroscope MinDelay","2404"
"gyroscope MaxDelay","1000000"
"gyroscope Power","0.55"
"gyroscope Version","142338"
"magnetic_field Name","null"
"magnetic_field Vendor","null"
"magnetic_field Range","null"
"magnetic_field Resolution","null"
"magnetic_field MinDelay","null"
"magnetic_field MaxDelay","null"
"magnetic_field Power","null"
"magnetic_field Version","null"
"pressure Name","null"
"pressure Vendor","null"
"pressure Range","null"
"pressure Resolution","null"
"pressure MinDelay","null"
"pressure MaxDelay","null"
"pressure Power","null"
"pressure Version","null"
"light Name","tsl2540 Ambient Light Sensor Non-wakeup"
"light Vendor","ams AG"
"light Range","65535.0"
"light Resolution","0.01"
"light MinDelay","0"
"light MaxDelay","0"
"light Power","0.08"
"light Version","256"
"proximity Name","ltr2568 Proximity Sensor Wakeup"
"proximity Vendor","Lite-On"
"proximity Range","5.0"
"proximity Resolution","0.01"
"proximity MinDelay","0"
"proximity MaxDelay","0"
"proximity Power","0.11"
"proximity Version","256"
"temperature Name","null"
"temperature Vendor","null"
"temperature Range","null"
"temperature Resolution","null"
"temperature MinDelay","null"
"temperature MaxDelay","null"
"temperature Power","null"
"temperature Version","null"
"humidity Name","null"
"humidity Vendor","null"
"humidity Range","null"
"humidity Resolution","null"
"humidity MinDelay","null"
"humidity MaxDelay","null"
"humidity Power","null"
"humidity Version","null"
"attitude Name","null"
"attitude Vendor","null"
"attitude Range","null"
"attitude Resolution","null"
"attitude MinDelay","null"
"attitude MaxDelay","null"
"attitude Power","null"
"attitude Version","null"
