"event","experiment time","system time","system time text"
"START",0.000000000E0,1636305380.662,"2021-11-07 18:16:20.662 UTC+01:00"
"PAUSE",2.426759106E1,1636305404.930,"2021-11-07 18:16:44.930 UTC+01:00"
