"event","experiment time","system time","system time text"
"START",0.000000000E0,1636394655.740,"2021-11-08 19:04:15.740 UTC+01:00"
"PAUSE",2.834577765E1,1636394684.086,"2021-11-08 19:04:44.086 UTC+01:00"
