"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.636470305376616E9,"2021-11-09 16:05:05.377 UTC+01:00"
"PAUSE",4.897350537503371E1,1.636470354350639E9,"2021-11-09 16:05:54.351 UTC+01:00"
