"event","experiment time","system time","system time text"
"START",0.000000000E0,1636479141.901,"2021-11-09 18:32:21.901 UTC+01:00"
"PAUSE",5.523453832E1,1636479197.136,"2021-11-09 18:33:17.136 UTC+01:00"
