"event","experiment time","system time","system time text"
"START",0.000000000E0,1636487470.455,"2021-11-09 20:51:10.455 UTC+01:00"
"PAUSE",3.306170967E1,1636487503.517,"2021-11-09 20:51:43.517 UTC+01:00"
