"property","value"
"version","1.1.9"
"build","1010901"
"fileFormat","1.13"
"deviceModel","ONEPLUS A3003"
"deviceBrand","OnePlus"
"deviceBoard","msm8996"
"deviceManufacturer","OnePlus"
"deviceBaseOS",""
"deviceCodename","REL"
"deviceRelease","9"
"accelerometer Name","LSM6DS3 Accelerometer"
"accelerometer Vendor","STMicroelectronics"
"accelerometer Range","78.4532"
"accelerometer Resolution","0.0023956299"
"accelerometer MinDelay","5000"
"accelerometer MaxDelay","1000000"
"accelerometer Power","0.9"
"accelerometer Version","1"
"linear_acceleration Name","Linear Acceleration"
"linear_acceleration Vendor","QTI"
"linear_acceleration Range","78.4532"
"linear_acceleration Resolution","0.0023956299"
"linear_acceleration MinDelay","5000"
"linear_acceleration MaxDelay","200000"
"linear_acceleration Power","0.6"
"linear_acceleration Version","2"
"gyroscope Name","LSM6DS3 Gyroscope"
"gyroscope Vendor","STMicroelectronics"
"gyroscope Range","17.453293"
"gyroscope Resolution","0.0012207031"
"gyroscope MinDelay","5000"
"gyroscope MaxDelay","1000000"
"gyroscope Power","0.9"
"gyroscope Version","1"
"magnetic_field Name","MMC3416PJ Magnetometer"
"magnetic_field Vendor","MEMSIC"
"magnetic_field Range","1600.0"
"magnetic_field Resolution","0.048828125"
"magnetic_field MinDelay","19230"
"magnetic_field MaxDelay","1000000"
"magnetic_field Power","0.14"
"magnetic_field Version","1"
"pressure Name","null"
"pressure Vendor","null"
"pressure Range","null"
"pressure Resolution","null"
"pressure MinDelay","null"
"pressure MaxDelay","null"
"pressure Power","null"
"pressure Version","null"
"light Name","APDS-9922 Light"
"light Vendor","Avago"
"light Range","30000.0"
"light Resolution","16.0"
"light MinDelay","0"
"light MaxDelay","65535000"
"light Power","0.11"
"light Version","1"
"proximity Name","APDS-9922 Proximity"
"proximity Vendor","Avago"
"proximity Range","5.000305"
"proximity Resolution","8.0"
"proximity MinDelay","0"
"proximity MaxDelay","65535000"
"proximity Power","0.183"
"proximity Version","2"
"temperature Name","null"
"temperature Vendor","null"
"temperature Range","null"
"temperature Resolution","null"
"temperature MinDelay","null"
"temperature MaxDelay","null"
"temperature Power","null"
"temperature Version","null"
"humidity Name","null"
"humidity Vendor","null"
"humidity Range","null"
"humidity Resolution","null"
"humidity MinDelay","null"
"humidity MaxDelay","null"
"humidity Power","null"
"humidity Version","null"
"attitude Name","Rotation Vector"
"attitude Vendor","QTI"
"attitude Range","1.0"
"attitude Resolution","5.9604645E-8"
"attitude MinDelay","5000"
"attitude MaxDelay","200000"
"attitude Power","1.1"
"attitude Version","2"
