"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.636496505199291E9,"2021-11-09 23:21:45.199 UTC+01:00"
"PAUSE",1.651761441667622E1,1.636496521716878E9,"2021-11-09 23:22:01.717 UTC+01:00"
