"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.636372163686502E9,"2021-11-08 12:49:23.687 UTC+01:00"
"PAUSE",5.053475266665919E1,1.636372214221520E9,"2021-11-08 12:50:14.222 UTC+01:00"
