"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.636298756687451E9,"2021-11-07 16:25:56.687 UTC+01:00"
"PAUSE",2.049115679166425E1,1.636298777178058E9,"2021-11-07 16:26:17.178 UTC+01:00"
