"event","experiment time","system time","system time text"
"START",0.000000000E0,1636486837.734,"2021-11-09 20:40:37.734 UTC+01:00"
"PAUSE",1.473577514E1,1636486852.470,"2021-11-09 20:40:52.470 UTC+01:00"
