"event","experiment time","system time","system time text"
"START",0.000000000E0,1636361863.685,"2021-11-08 14:27:43.685 UTC+05:30"
"PAUSE",3.004187523E1,1636361893.727,"2021-11-08 14:28:13.727 UTC+05:30"
