"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.636297643487577E9,"2021-11-07 16:07:23.488 UTC+01:00"
"PAUSE",4.744957383333531E1,1.636297690937321E9,"2021-11-07 16:08:10.937 UTC+01:00"
