"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.636481818658003E9,"2021-11-09 19:16:58.658 UTC+01:00"
"PAUSE",1.656985250000071E1,1.636481835227549E9,"2021-11-09 19:17:15.228 UTC+01:00"
