"event","experiment time","system time","system time text"
"START",0.000000000E0,1636495532.355,"2021-11-09 23:05:32.355 UTC+01:00"
"PAUSE",3.201736329E1,1636495564.373,"2021-11-09 23:06:04.373 UTC+01:00"
