,Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
4569,45.92991175,0.5224136353,-9.796528015,-3.140918427
4570,45.93996375,0.2134561157,-10.4788092,-3.17325119
4571,45.95001575,0.04161346436,-10.75079361,-2.586172028
4572,45.96006775,0.326920166,-10.20921982,-1.82650177
4573,45.97011975,0.1022373962,-9.878258057,-1.786385193
4574,45.98017175,-0.573457489,-10.05234604,-2.256557465
4575,45.99022375,-1.308429108,-10.53643936,-2.502496033
4576,46.00027575,-1.632355499,-10.88237,-2.640509033
4577,46.01032775,-1.517244873,-10.86964645,-2.556234283
4578,46.02037975,-1.368154907,-10.88296875,-2.427352295
4579,46.03043175,-1.235680389,-11.05945175,-2.084565125
4580,46.04048375,-1.060843964,-11.1066037,-1.584455109
4581,46.05053575,-0.9514215088,-10.93027039,-1.257085876
4582,46.06058775,-0.9398954773,-10.59377014,-1.118923187
4583,46.07063933,-0.9138496399,-10.27059219,-0.9800120544
4584,46.08069133,-0.8707392883,-10.11596375,-0.8491841125
4585,46.09074333,-0.8330177307,-10.06177643,-0.5972579956
4586,46.10079533,-0.8108638,-10.01851639,-0.290994873
4587,46.11084733,-0.7846682739,-9.876910858,0.01197509766
4588,46.12089933,-0.75353302,-9.643546143,0.2218386841
4589,46.13095133,-0.7707472229,-9.481433258,0.2951861572
4590,46.14100333,-0.9051676941,-9.420959015,0.2923420715
4591,46.15105533,-1.0577005,-9.349707184,0.1454974365
4592,46.16110733,-1.114432526,-9.320517883,-0.07409591675
4593,46.17115933,-1.126856689,-9.421707458,-0.08083190918
4594,46.18121133,-0.955612793,-9.571845245,0.0715512085
4595,46.19126333,-0.6965016174,-9.504485321,0.3026705933
4596,46.20131533,-0.2538720703,-9.42155777,0.6246510315
4597,46.21136733,0.2182461548,-9.565109253,0.9801617432
4598,46.22141933,0.4176315308,-9.783505096,1.432521057
4599,46.23147133,0.406255188,-9.962383118,1.77740387
4600,46.24152333,0.1850152588,-10.08587631,2.041454773
4601,46.25157533,0.04161346436,-10.03632935,2.149979095
4602,46.26162733,0.1029858398,-10.09830048,2.097588043
4603,46.27167933,0.31943573,-10.27029282,1.969604187
4604,46.28173133,0.5424719238,-10.37163208,1.964215393
4605,46.29178333,0.5516029358,-10.27164001,2.026036835
4606,46.30183533,0.397124176,-10.15114059,2.019899597
4607,46.31188733,0.167202301,-10.11880783,1.905238037
4608,46.32193933,0.02080673218,-10.1006955,1.688339081
4609,46.33199133,0.0001496887207,-10.05144791,1.408271484
4610,46.34204333,0.0419128418,-10.01327728,1.270857239
4611,46.35209533,0.1577719116,-9.948911133,1.199006653
4612,46.36214733,0.260458374,-9.913883972,1.107397156
4613,46.37219933,0.3725752258,-9.906100159,1.081800385
4614,46.38225133,0.4718188477,-9.849966888,1.012195129
4615,46.39230333,0.5120851135,-9.854756927,0.9262738037
4616,46.40235533,0.4739144897,-9.880503387,0.9129515076
4617,46.41240733,0.4210743713,-9.852960663,0.9148974609
4618,46.42245933,0.4207749939,-9.825717316,0.8508306885
4619,46.43251133,0.4011657715,-9.863738251,0.7836204529
4620,46.44256333,0.3502716064,-9.963730316,0.656534729
4621,46.45261533,0.3034190369,-9.992620239,0.4881349182
4622,46.46266733,0.276026001,-10.03617966,0.316741333
4623,46.47271933,0.2839595032,-10.11551468,0.1326242065
4624,46.48277133,0.2863545227,-10.08273285,0.04176315308
4625,46.49282333,0.3234773254,-10.0740509,-0.005089416504
4626,46.50287533,0.3917353821,-9.981692963,0.03203338623
4627,46.51292733,0.4514611816,-9.942324829,0.09580078125
4628,46.52297933,0.4120930481,-9.859696655,0.1401086426
4629,46.53303133,0.4017645264,-9.776469727,0.1395098877
4630,46.54308333,0.5219645691,-9.820178833,0.1866618347
4631,46.55313533,0.6674620056,-9.817484436,0.3251239014
4632,46.56318733,0.7722441101,-9.799671478,0.5173242188
4633,46.57323933,0.8839118958,-9.762249298,0.7237449646
4634,46.58329133,1.053658905,-9.798174591,0.9446855164
4635,46.59334333,1.145717468,-9.812245331,1.158291321
4636,46.60339533,1.084045715,-9.752220154,1.298399963
4637,46.61344733,0.8213420105,-9.69533844,1.33627121
4638,46.62349933,0.4258644104,-9.680818634,1.294807434
4639,46.63355133,-0.05643264771,-9.613309021,1.198707275
4640,46.64360333,-0.4972659302,-9.548793182,1.08000412
4641,46.65365533,-0.7926017761,-9.527238007,0.8885522461
4642,46.66370733,-0.9228309631,-9.529483337,0.7015910339
4643,46.67375933,-0.9469308472,-9.581724701,0.6071374512
4644,46.68381133,-0.9380992126,-9.601184235,0.5526507568
4645,46.69386333,-0.979712677,-9.734856262,0.510737915
4646,46.70391533,-0.97701828,-9.925110626,0.4451742554
4647,46.71396733,-0.9916877747,-10.03438339,0.3576063538
4648,46.72401933,-1.028361511,-10.13093262,0.2474354553
