"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.636495664877542E9,"2021-11-09 23:07:44.878 UTC+01:00"
"PAUSE",1.898415699999896E1,1.636495683861949E9,"2021-11-09 23:08:03.862 UTC+01:00"
