"event","experiment time","system time","system time text"
"START",0.000000000E0,1636209369.866,"2021-11-06 15:36:09.866 UTC+01:00"
"PAUSE",6.002974839E1,1636209429.896,"2021-11-06 15:37:09.896 UTC+01:00"
