"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.636831858870020E9,"2021-11-13 20:30:58.870 UTC+01:00"
"PAUSE",1.501004629167437E1,1.636831873879501E9,"2021-11-13 20:31:13.880 UTC+01:00"
