"event","experiment time","system time","system time text"
"START",0.000000000E0,1636485539.023,"2021-11-09 20:18:59.023 UTC+01:00"
"PAUSE",5.303775982E1,1636485592.061,"2021-11-09 20:19:52.061 UTC+01:00"
