"event","experiment time","system time","system time text"
"START",0.000000000E0,1636362721.498,"2021-11-08 14:42:01.498 UTC+05:30"
"PAUSE",1.004247157E1,1636362731.540,"2021-11-08 14:42:11.540 UTC+05:30"
