"event","experiment time","system time","system time text"
"START",0.000000000E0,1636487763.530,"2021-11-09 20:56:03.530 UTC+01:00"
"PAUSE",5.015165689E1,1636487813.682,"2021-11-09 20:56:53.682 UTC+01:00"
