"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.636372025570334E9,"2021-11-08 12:47:05.570 UTC+01:00"
"PAUSE",4.317137495829957E1,1.636372068741937E9,"2021-11-08 12:47:48.742 UTC+01:00"
