"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.636282092078474E9,"2021-11-07 11:48:12.078 UTC+01:00"
"PAUSE",2.791888633332564E1,1.636282119997690E9,"2021-11-07 11:48:39.998 UTC+01:00"
