"event","experiment time","system time","system time text"
"START",0.000000000E0,1636360166.876,"2021-11-08 13:59:26.876 UTC+05:30"
"PAUSE",3.005033378E1,1636360196.926,"2021-11-08 13:59:56.926 UTC+05:30"
