,Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
6556,65.89807267,-0.1517843628,9.764794006,-0.1447489929
6557,65.90812467,-0.1519340515,9.764644318,-0.1586700439
6558,65.91817567,-0.1435514832,9.754615173,-0.1812730408
6559,65.92822667,-0.1398092651,9.785001984,-0.2038760376
6560,65.93827767,-0.1308279419,9.798473969,-0.2281256104
6561,65.94832867,-0.1585203552,9.788594513,-0.1826202393
6562,65.95837967,-0.1787283325,9.745184784,-0.120050354
6563,65.96843167,-0.1821711731,9.718989258,-0.09056167603
6564,65.97848267,-0.154329071,9.710906067,-0.1100212097
6565,65.98853367,-0.1338217163,9.742041321,-0.1523831177
6566,65.99858467,-0.1315763855,9.743987274,-0.1942959595
6567,66.00863567,-0.1287322998,9.748328247,-0.2318678284
6568,66.01868667,-0.1185534668,9.764943695,-0.2636018372
6569,66.02873867,-0.1293310547,9.779164124,-0.2327659607
6570,66.03878967,-0.1498384094,9.766141205,-0.1737886047
6571,66.04884067,-0.1562750244,9.74802887,-0.1221459961
6572,66.05889167,-0.1462458801,9.73156311,-0.1134640503
6573,66.06894267,-0.1460961914,9.754315796,-0.1131646729
6574,66.07899367,-0.1498384094,9.77602066,-0.1272354126
6575,66.08904567,-0.1475930786,9.784103851,-0.1841171265
6576,66.09909667,-0.1471440125,9.758357391,-0.2315684509
6577,66.10914767,-0.1442999268,9.7502742,-0.2402503967
6578,66.11919867,-0.1401086426,9.726024628,-0.1836680603
6579,66.12924967,-0.1490899658,9.724677429,-0.1296304321
6580,66.13930067,-0.1679507446,9.724378052,-0.1336720276
6581,66.14935167,-0.1977388,9.741891632,-0.1486408997
6582,66.15940367,-0.2320175171,9.750423889,-0.1541793823
6583,66.16945467,-0.2426454163,9.760602722,-0.1869612122
6584,66.17950567,-0.2142045593,9.779762878,-0.2257305908
6585,66.18955667,-0.1788780212,9.784103851,-0.2215393066
6586,66.19960767,-0.1474433899,9.785750427,-0.1901046753
6587,66.20965867,-0.1478924561,9.768985291,-0.1218466187
6588,66.21971067,-0.1526824951,9.748328247,-0.07604187012
6589,66.22976167,-0.1692979431,9.731263733,-0.07798782349
6590,66.23981267,-0.1889071655,9.734257507,-0.09086105347
6591,66.24986367,-0.1890568542,9.751172333,-0.1348695374
6592,66.25991467,-0.1930984497,9.765243073,-0.1721420288
6593,66.26996567,-0.1836680603,9.76673996,-0.1868115234
6594,66.28001767,-0.1772314453,9.768536224,-0.1669029236
6595,66.29006867,-0.1724414062,9.754465485,-0.1437011719
6596,66.30011967,-0.1851649475,9.721983032,-0.1083746338
6597,66.31017067,-0.1926493835,9.707163849,-0.1202000427
6598,66.32022167,-0.1815724182,9.716893616,-0.1594184875
6599,66.33027267,-0.1724414062,9.747879181,-0.1618135071
6600,66.34032467,-0.1817221069,9.774374084,-0.1523831177
6601,66.35037567,-0.1805245972,9.767638092,-0.1209484863
6602,66.36042667,-0.1947450256,9.746082916,-0.08951385498
6603,66.37047767,-0.2145039368,9.754016418,-0.08996292114
6604,66.38052867,-0.2344125366,9.772727509,-0.1035845947
6605,66.39057967,-0.2327659607,9.758806458,-0.1378633118
6606,66.40063167,-0.2067201233,9.754615173,-0.1609153748
6607,66.41068267,-0.2002835083,9.742041321,-0.1847158813
6608,66.42073367,-0.1936972046,9.716743927,-0.1594184875
6609,66.43078467,-0.1760339355,9.708061981,-0.1076261902
6610,66.44083567,-0.1764830017,9.723180542,-0.08936416626
6611,66.45088667,-0.1842668152,9.739197235,-0.1140628052
6612,66.46093867,-0.1978884888,9.758207703,-0.1694476318
6613,66.47098967,-0.2148033142,9.760453033,-0.1860630798
6614,66.48104067,-0.2228865051,9.768985291,-0.1628613281
6615,66.49109167,-0.2279759216,9.751022644,-0.1502874756
6616,66.50114267,-0.230969696,9.722731476,-0.1294807434
6617,66.51119367,-0.2151026917,9.729916534,-0.0730480957
6618,66.52124567,-0.2043251038,9.747879181,-0.05523513794
6619,66.53129667,-0.1944456482,9.766590271,-0.0940045166
6620,66.54134767,-0.206869812,9.762249298,-0.1354682922
6621,66.55139867,-0.1814227295,9.746681671,-0.1534309387
6622,66.56144967,-0.1643582153,9.735904083,-0.149539032
6623,66.57150075,-0.1733395386,9.736353149,-0.1405577087
6624,66.58155175,-0.1844165039,9.7502742,-0.1002914429
6625,66.59160375,-0.1821711731,9.771529999,-0.06212081909
6626,66.60165475,-0.1639091492,9.767638092,-0.09610015869
6627,66.61170575,-0.1651066589,9.758357391,-0.1429527283
6628,66.62175675,-0.1796264648,9.769134979,-0.149539032
6629,66.63180775,-0.2134561157,9.746531982,-0.1520837402
6630,66.64185975,-0.2462379456,9.707612915,-0.1805245972
6631,66.65191075,-0.2701881409,9.7011763,-0.1959425354
6632,66.66196175,-0.2528242493,9.700876923,-0.1710942078
6633,66.67201275,-0.1969903564,9.711953888,-0.1305285645
6634,66.68206375,-0.1625619507,9.739945679,-0.117355957
6635,66.69211475,-0.154329071,9.772877197,-0.1145118713
6636,66.70216575,-0.1652563477,9.775272217,-0.1246907043
6637,66.71221775,-0.1694476318,9.773925018,-0.121098175
6638,66.72226875,-0.186512146,9.786798248,-0.1137634277
6639,66.73231975,-0.2151026917,9.783505096,-0.1089733887
6640,66.74237075,-0.1989363098,9.766141205,-0.1293310547
6641,66.75242175,-0.1722917175,9.762548676,-0.1481918335
6642,66.76247275,-0.1612147522,9.779313812,-0.1502874756
6643,66.77252475,-0.149539032,9.756261749,-0.1311273193
6644,66.78257575,-0.1392105103,9.734107819,-0.1326242065
6645,66.79262675,-0.1490899658,9.72812027,-0.1561253357
6646,66.80267775,-0.1812730408,9.746382294,-0.1754351807
6647,66.81272875,-0.2026785278,9.741592255,-0.1770817566
6648,66.82277975,-0.1907034302,9.720186768,-0.1999841309
6649,66.83283175,-0.1757345581,9.730664978,-0.2119592285
6650,66.84288275,-0.1585203552,9.736951904,-0.1856140137
6651,66.85293375,-0.1612147522,9.739646301,-0.1694476318
6652,66.86298475,-0.1713935852,9.749226379,-0.1604663086
6653,66.87303575,-0.1469943237,9.765692139,-0.1562750244
6654,66.88308675,-0.1290316772,9.765841827,-0.1628613281
6655,66.89313875,-0.1203497314,9.769284668,-0.190254364
6656,66.90318975,-0.136665802,9.755213928,-0.212258606
6657,66.91324075,-0.1657054138,9.752220154,-0.2264790344
6658,66.92329175,-0.2053729248,9.741741943,-0.1829196167
6659,66.93334275,-0.2094145203,9.748328247,-0.1609153748
6660,66.94339375,-0.2107617188,9.737999725,-0.1757345581
6661,66.95344575,-0.2073188782,9.742340698,-0.1957928467
6662,66.96349675,-0.1823208618,9.743538208,-0.2139051819
6663,66.97354775,-0.1582209778,9.768536224,-0.2239343262
6664,66.98359875,-0.1498384094,9.778565369,-0.2293231201
6665,66.99364975,-0.1462458801,9.743687897,-0.2161505127
6666,67.00370075,-0.1510359192,9.71404953,-0.1919009399
6667,67.01375275,-0.1746867371,9.713001709,-0.1826202393
6668,67.02380375,-0.187559967,9.728269958,-0.1475930786
6669,67.03385475,-0.1637594604,9.753118286,-0.1386117554
6670,67.04390575,-0.145796814,9.761650543,-0.1877096558
6671,67.05395675,-0.1510359192,9.788145447,-0.2426454163
6672,67.06400775,-0.162412262,9.789792023,-0.2456391907
6673,67.07405975,-0.1675016785,9.75850708,-0.2239343262
6674,67.08411075,-0.1734892273,9.746531982,-0.2131567383
6675,67.09416175,-0.1904040527,9.746681671,-0.2291734314
6676,67.10421275,-0.2020797729,9.741143188,-0.2246827698
6677,67.11426375,-0.2050735474,9.744136963,-0.2195933533
6678,67.12431475,-0.1960922241,9.767039337,-0.2157014465
6679,67.13436675,-0.1907034302,9.751322021,-0.2228865051
6680,67.14441775,-0.2040257263,9.734407196,-0.2264790344
6681,67.15446875,-0.2171983337,9.725425873,-0.2260299683
6682,67.16451975,-0.2047741699,9.718091125,-0.1995350647
6683,67.17457075,-0.1754351807,9.741292877,-0.2025288391
6684,67.18462175,-0.176333313,9.760003967,-0.2321672058
6685,67.19467375,-0.1880090332,9.768685913,-0.2820135498
6686,67.20472475,-0.2061213684,9.77138031,-0.2757266235
6687,67.21477575,-0.2089654541,9.76554245,-0.2359094238
6688,67.22482675,-0.1965412903,9.755363617,-0.2019300842
6689,67.23487775,-0.1960922241,9.725575562,-0.1908531189
6690,67.24492875,-0.1920506287,9.715845795,-0.1802252197
6691,67.25498075,-0.1691482544,9.749525757,-0.1739382935
6692,67.26503175,-0.1823208618,9.763596497,-0.2047741699
6693,67.27508275,-0.205821991,9.740694122,-0.2483335876
6694,67.28513375,-0.2164498901,9.740544434,-0.2721340942
6695,67.29518475,-0.196690979,9.736502838,-0.2589614868
6696,67.30523575,-0.1948947144,9.741741943,-0.2227368164
6697,67.31528675,-0.2082170105,9.768685913,-0.2155517578
6698,67.32533875,-0.2239343262,9.803413696,-0.2204914856
