Time(s),X(rad/s),Y(rad/s),Z(rad/s)
2.093936152,-0.052532863,-0.068567604,-0.037414394
2.110792246,-0.059863031,-0.07711947,-0.04718795
2.127647663,-0.063528113,-0.084449634,-0.05207473
2.144502142,-0.065971501,-0.08933641,-0.054518119
2.161357454,-0.065971501,-0.095444888,-0.053296424
2.1782136,-0.064749807,-0.101553358,-0.050853033
2.195068965,-0.068414897,-0.112548605,-0.054518119
2.211923496,-0.075745061,-0.124765553,-0.059404895
2.228778808,-0.084296919,-0.138204187,-0.064291671
2.245634902,-0.080631837,-0.149199441,-0.076508619
2.262490319,-0.079410143,-0.161416382,-0.094834037
2.279344798,-0.089183703,-0.177298412,-0.114381149
2.296200163,-0.096513867,-0.191958755,-0.129041478
2.313056256,-0.103844032,-0.182185188,-0.121711314
2.329911673,-0.124612838,-0.166303173,-0.099720813
2.346766152,-0.145381644,-0.174855024,-0.077730313
2.363621517,-0.16981554,-0.183406889,-0.065513365
2.38047761,-0.191806033,-0.19562383,-0.074065231
2.397333027,-0.202801287,-0.217614338,-0.100942507
2.414187506,-0.205244675,-0.244491622,-0.129041478
2.431042871,-0.210131452,-0.257930249,-0.152253673
2.447898965,-0.218683317,-0.270147204,-0.159583852
2.464754381,-0.22845687,-0.290915996,-0.147366896
2.48160886,-0.229678571,-0.301911265,-0.141258434
2.498464225,-0.221126705,-0.306798041,-0.154697076
2.515320319,-0.222348407,-0.323901773,-0.186461121
2.532175735,-0.234565347,-0.34955734,-0.221890271
2.549030215,-0.235787049,-0.350779027,-0.24876754
2.565885579,-0.229678571,-0.330010235,-0.245102465
2.582741673,-0.22845687,-0.333675325,-0.212116703
2.59959709,-0.238230437,-0.330010235,-0.184017733
2.616451569,-0.257777542,-0.300689578,-0.171800792
2.633306933,-0.301758558,-0.279920757,-0.17424418
2.650163027,-0.348182946,-0.31412819,-0.176687568
2.667018444,-0.359178186,-0.350779027,-0.17790927
2.683872923,-0.355513096,-0.383764803,-0.155918762
2.700728288,-0.313975483,-0.38498649,-0.122933008
2.717584433,-0.265107721,-0.369104445,-0.083838783
2.734439798,-0.2443389,-0.289694309,-0.076508619
2.751294329,-0.241895512,-0.237161443,-0.077730313
2.768149642,-0.211353153,-0.132095724,-0.119267926
2.785005788,-0.151490122,-0.011147963,-0.157140464
2.801861204,-0.076966755,0.036498122,-0.154697076
2.818715683,-0.061084725,0.084144212,-0.179130957
2.835571048,-0.10628742,0.068262182,-0.209673315
2.852427142,-0.117282674,0.079257429,-0.247545853
2.869282558,-0.083075225,0.109799795,-0.284196675
2.88613709,-0.025655584,0.096361153,-0.287861764
2.902992402,0.02687728,0.053601846,-0.270758033
2.919848548,0.057419643,0.0193944,-0.258541107
2.936703965,0.085518613,-0.008704574,-0.257319421
2.953558444,0.119726062,-0.034360159,-0.270758033
2.970413808,0.139425889,-0.050242186,-0.290305167
2.987269954,0.147977755,-0.033138465,-0.311073959
3.004125319,0.168746561,-0.017256435,-0.308630586
3.02097985,0.212727562,0.001068983,-0.278088212
3.037835215,0.254265159,0.073148958,-0.247545853
3.054691308,0.264038742,0.146450624,-0.225555345
3.071546725,0.28236416,0.229525864,-0.198678076
3.088401256,0.309241414,0.285876513,-0.168135703
3.105256569,0.341005474,0.355513096,-0.124154702
3.122112715,0.355665803,0.400715798,-0.096055731
3.138968131,0.348335654,0.41415444,-0.087503873
3.155822663,0.338562101,0.399494112,-0.100942507
3.172677975,0.322680056,0.376281917,-0.12048962
3.189534121,0.337340385,0.34696123,-0.153475374
3.206389538,0.373991221,0.291984975,-0.175465882
3.223244069,0.382543087,0.208757058,-0.171800792
3.240099381,0.375212938,0.119573347,-0.15836215
3.256955527,0.365439385,0.04382829,-0.12659809
3.273810944,0.362995982,-0.041690327,-0.092390649
3.290665475,0.309241414,-0.144312665,-0.067956761
3.307520788,0.182185188,-0.218836024,-0.033749312
3.324376933,-0.018325418,-0.31779328,0.01267508
3.34123235,-0.348182946,-0.496160686,0.076203197
3.358086881,-0.660936713,-0.639098942,0.169051975
3.374942194,-0.763559103,-0.532811523,0.324207187
3.39179834,-0.700030983,-0.410642058,0.518456638
3.408653756,-0.682927251,-0.441184431,0.689493835
3.425508288,-0.756228924,-0.512042701,0.904664815
3.442363652,-0.998124421,-0.521816254,1.183211088
3.459219746,-1.049435616,-0.564575553,1.40189445
3.476075163,-1.035996914,-0.356887519,1.361578584
3.492929694,-1.07264781,0.122016743,1.13312161
3.509785058,-0.990794241,0.34696123,1.008508801
3.526641204,-1.025001645,0.280989736,0.842358351
3.543496621,-1.10441184,-0.439962745,0.750578582
3.5603511,-1.187487125,-1.054475069,0.787229419
3.577206465,-1.144727707,-1.374559045,0.787229419
3.59406261,-1.039662004,-1.405101418,0.732253134
3.610918027,-0.910162389,-1.219403863,0.668725014
3.627772558,-0.784327865,-1.004385591,0.601531863
3.644627923,-0.676818788,-0.829683304,0.520900011
3.661484069,-0.59496522,-0.707513809,0.426829517
3.678339433,-0.502116442,-0.637877226,0.313211918
3.695193965,-0.379947007,-0.595117927,0.182490617
3.712049329,-0.241895512,-0.591452837,0.054212693
3.728905475,-0.12583454,-0.585344374,-0.063069977
3.745760892,-0.02687728,-0.532811523,-0.136371657
3.762615423,0.101400644,-0.448514611,-0.159583852
3.779470788,0.266482115,-0.378878027,-0.159583852
3.796326933,0.405755281,-0.281142443,-0.16202724
3.81318235,0.45217967,-0.145534366,-0.141258434
3.830036881,0.426524103,-0.102775052,-0.135149956
3.846892246,0.310463131,-0.290915996,-0.169357404
3.863748392,0.12583454,-0.570684075,-0.292748541
3.880603808,0.087962002,-0.701405346,-0.518762052
3.89745834,0.326345146,-0.805249393,-0.645818293
3.914313652,0.783258915,-0.635433853,-0.478446126
3.93116985,0.939635813,-0.323901773,0.10185878
3.948025215,0.906650066,0.003512372,0.527008474
3.964879746,0.90909344,-0.174855024,0.055434387
3.98173511,0.490052223,-0.182185188,-0.738667071
3.998591256,0.21517095,0.035276428,-1.243226886
4.015446673,0.217614338,0.463022232,-1.448471546
4.032301204,0.221279413,1.329203606,-1.342184186
4.049156569,-0.054976255,2.013352633,-0.975675762
4.066012715,-0.368951738,1.579650998,-0.160805538
