"event","experiment time","system time","system time text"
"START",0.000000000E0,1636495654.968,"2021-11-09 23:07:34.968 UTC+01:00"
"PAUSE",3.240855911E1,1636495687.376,"2021-11-09 23:08:07.376 UTC+01:00"
