"event","experiment time","system time","system time text"
"START",0.000000000E0,1636571900.838,"2021-11-10 20:18:20.838 UTC+01:00"
"PAUSE",1.502756337E1,1636571915.865,"2021-11-10 20:18:35.865 UTC+01:00"
