"event","experiment time","system time","system time text"
"START",0.000000000E0,1636361015.527,"2021-11-08 14:13:35.527 UTC+05:30"
"PAUSE",3.003340258E1,1636361045.560,"2021-11-08 14:14:05.560 UTC+05:30"
