"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.636485215130578E9,"2021-11-09 20:13:35.131 UTC+01:00"
"PAUSE",2.155243212502683E1,1.636485236682882E9,"2021-11-09 20:13:56.683 UTC+01:00"
