"event","experiment time","system time","system time text"
"START",0.000000000E0,1636453987.486,"2021-11-09 11:33:07.486 UTC+01:00"
"PAUSE",3.103124395E1,1636454018.517,"2021-11-09 11:33:38.517 UTC+01:00"
