"event","experiment time","system time","system time text"
"START",0.000000000E0,1636362287.449,"2021-11-08 10:04:47.449 UTC+01:00"
"PAUSE",5.938779478E1,1636362346.837,"2021-11-08 10:05:46.837 UTC+01:00"
