"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.636481867159626E9,"2021-11-09 19:17:47.160 UTC+01:00"
"PAUSE",1.440464770833387E1,1.636481881564007E9,"2021-11-09 19:18:01.564 UTC+01:00"
